"","paper_no","author","term","n","total"
"36140",39,"Madison","can",1,2606
"36141",39,"Madison","candid",1,2606
"36142",39,"Madison","cannot",1,2606
"36143",39,"Madison","capacity",1,2606
"36144",39,"Madison","care",1,2606
"36145",39,"Madison","cases",1,2606
"36146",39,"Madison","certain",1,2606
"36147",39,"Madison","change",1,2606
"36148",39,"Madison","claim",1,2606
"36149",39,"Madison","class",1,2606
"36150",39,"Madison","clearly",1,2606
"36151",39,"Madison","co",1,2606
"36152",39,"Madison","collective",1,2606
"36153",39,"Madison","combated",1,2606
"36154",39,"Madison","combined",1,2606
"36155",39,"Madison","communities",1,2606
"36156",39,"Madison","compact",1,2606
"36157",39,"Madison","comparing",1,2606
"36158",39,"Madison","comparison",1,2606
"36159",39,"Madison","competent",1,2606
"36160",39,"Madison","complexion",1,2606
"36161",39,"Madison","composition",1,2606
"36162",39,"Madison","computing",1,2606
"36163",39,"Madison","concluded",1,2606
"36164",39,"Madison","conformably",1,2606
"36165",39,"Madison","consideration",1,2606
"36166",39,"Madison","considering",1,2606
"36167",39,"Madison","considers",1,2606
"36168",39,"Madison","consist",1,2606
"36169",39,"Madison","consists",1,2606
"36170",39,"Madison","consolidated",1,2606
"36171",39,"Madison","consolidation",1,2606
"36172",39,"Madison","constitutional",1,2606
"36173",39,"Madison","contemplate",1,2606
"36174",39,"Madison","continuance",1,2606
"36175",39,"Madison","continue",1,2606
"36176",39,"Madison","controlled",1,2606
"36177",39,"Madison","countenance",1,2606
"36178",39,"Madison","country",1,2606
"36179",39,"Madison","decide",1,2606
"36180",39,"Madison","decisive",1,2606
"36181",39,"Madison","deemed",1,2606
"36182",39,"Madison","defect",1,2606
"36183",39,"Madison","defensible",1,2606
"36184",39,"Madison","define",1,2606
"36185",39,"Madison","definite",1,2606
"36186",39,"Madison","degraded",1,2606
"36187",39,"Madison","delegation",1,2606
"36188",39,"Madison","delegations",1,2606
"36189",39,"Madison","denomination",1,2606
"36190",39,"Madison","depart",1,2606
"36191",39,"Madison","department",1,2606
"36192",39,"Madison","departments",1,2606
"36193",39,"Madison","departs",1,2606
"36194",39,"Madison","deputies",1,2606
"36195",39,"Madison","designate",1,2606
"36196",39,"Madison","determination",1,2606
"36197",39,"Madison","determined",1,2606
"36198",39,"Madison","difference",1,2606
"36199",39,"Madison","differing",1,2606
"36200",39,"Madison","dignified",1,2606
"36201",39,"Madison","directed",1,2606
"36202",39,"Madison","disfigured",1,2606
"36203",39,"Madison","disquisitions",1,2606
"36204",39,"Madison","dissimilar",1,2606
"36205",39,"Madison","dissolution",1,2606
"36206",39,"Madison","distinction",1,2606
"36207",39,"Madison","distinctive",1,2606
"36208",39,"Madison","does",1,2606
"36209",39,"Madison","duration",1,2606
"36210",39,"Madison","duty",1,2606
"36211",39,"Madison","effectual",1,2606
"36212",39,"Madison","england",1,2606
"36213",39,"Madison","entire",1,2606
"36214",39,"Madison","enumerated",1,2606
"36215",39,"Madison","equality",1,2606
"36216",39,"Madison","equally",1,2606
"36217",39,"Madison","establishing",1,2606
"36218",39,"Madison","estimate",1,2606
"36219",39,"Madison","even",1,2606
"36220",39,"Madison","eventual",1,2606
"36221",39,"Madison","ever",1,2606
"36222",39,"Madison","evidence",1,2606
"36223",39,"Madison","evident",1,2606
"36224",39,"Madison","examined",1,2606
"36225",39,"Madison","examining",1,2606
"36226",39,"Madison","examples",1,2606
"36227",39,"Madison","executed",1,2606
"36228",39,"Madison","execution",1,2606
"36229",39,"Madison","exercised",1,2606
"36230",39,"Madison","exercising",1,2606
"36231",39,"Madison","existing",1,2606
"36232",39,"Madison","experiments",1,2606
"36233",39,"Madison","express",1,2606
"36234",39,"Madison","expressed",1,2606
"36235",39,"Madison","extends",1,2606
"36236",39,"Madison","extreme",1,2606
"36237",39,"Madison","falls",1,2606
"36238",39,"Madison","favored",1,2606
"36239",39,"Madison","few",1,2606
"36240",39,"Madison","finally",1,2606
"36241",39,"Madison","find",1,2606
"36242",39,"Madison","firm",1,2606
"36243",39,"Madison","fixed",1,2606
"36244",39,"Madison","force",1,2606
"36245",39,"Madison","four",1,2606
"36246",39,"Madison","framed",1,2606
"36247",39,"Madison","freedom",1,2606
"36248",39,"Madison","frequently",1,2606
"36249",39,"Madison","fundamental",1,2606
"36250",39,"Madison","further",1,2606
"36251",39,"Madison","future",1,2606
"36252",39,"Madison","generally",1,2606
"36253",39,"Madison","genius",1,2606
"36254",39,"Madison","genuine",1,2606
"36255",39,"Madison","guaranty",1,2606
"36256",39,"Madison","handful",1,2606
"36257",39,"Madison","handle",1,2606
"36258",39,"Madison","having",1,2606
"36259",39,"Madison","he",1,2606
"36260",39,"Madison","here",1,2606
"36261",39,"Madison","highest",1,2606
"36262",39,"Madison","himself",1,2606
"36263",39,"Madison","his",1,2606
"36264",39,"Madison","holding",1,2606
"36265",39,"Madison","holland",1,2606
"36266",39,"Madison","however",1,2606
"36267",39,"Madison","idea",1,2606
"36268",39,"Madison","immediate",1,2606
"36269",39,"Madison","immediately",1,2606
"36270",39,"Madison","impartiality",1,2606
"36271",39,"Madison","impartially",1,2606
"36272",39,"Madison","impeachment",1,2606
"36273",39,"Madison","impropriety",1,2606
"36274",39,"Madison","inaccuracy",1,2606
"36275",39,"Madison","inconsiderable",1,2606
"36276",39,"Madison","indefinite",1,2606
"36277",39,"Madison","individuals",1,2606
"36278",39,"Madison","innovation",1,2606
"36279",39,"Madison","inquire",1,2606
"36280",39,"Madison","inquiring",1,2606
"36281",39,"Madison","instances",1,2606
"36282",39,"Madison","instead",1,2606
"36283",39,"Madison","introduce",1,2606
"36284",39,"Madison","introduced",1,2606
"36285",39,"Madison","introducing",1,2606
"36286",39,"Madison","inviolable",1,2606
"36287",39,"Madison","involves",1,2606
"36288",39,"Madison","itself",1,2606
"36289",39,"Madison","judiciary",1,2606
"36290",39,"Madison","jurisdiction",1,2606
"36291",39,"Madison","jurisdictions",1,2606
"36292",39,"Madison","lawful",1,2606
"36293",39,"Madison","leaves",1,2606
"36294",39,"Madison","legal",1,2606
"36295",39,"Madison","less",1,2606
"36296",39,"Madison","likely",1,2606
"36297",39,"Madison","limited",1,2606
"36298",39,"Madison","list",1,2606
"36299",39,"Madison","longer",1,2606
"36300",39,"Madison","loses",1,2606
"36301",39,"Madison","mankind",1,2606
"36302",39,"Madison","meant",1,2606
"36303",39,"Madison","ministerial",1,2606
"36304",39,"Madison","mixed",1,2606
"36305",39,"Madison","mixture",1,2606
"36306",39,"Madison","model",1,2606
"36307",39,"Madison","name",1,2606
"36308",39,"Madison","nearly",1,2606
"36309",39,"Madison","necessary",1,2606
"36310",39,"Madison","next",1,2606
"36311",39,"Madison","nobility",1,2606
"36312",39,"Madison","number",1,2606
"36313",39,"Madison","objectors",1,2606
"36314",39,"Madison","observations",1,2606
"36315",39,"Madison","obvious",1,2606
"36316",39,"Madison","offers",1,2606
"36317",39,"Madison","once",1,2606
"36318",39,"Madison","operate",1,2606
"36319",39,"Madison","opinions",1,2606
"36320",39,"Madison","oppressions",1,2606
"36321",39,"Madison","order",1,2606
"36322",39,"Madison","ordinate",1,2606
"36323",39,"Madison","organized",1,2606
"36324",39,"Madison","others",1,2606
"36325",39,"Madison","out",1,2606
"36326",39,"Madison","owed",1,2606
"36327",39,"Madison","paper",1,2606
"36328",39,"Madison","part",1,2606
"36329",39,"Madison","partakes",1,2606
"36330",39,"Madison","particle",1,2606
"36331",39,"Madison","passed",1,2606
"36332",39,"Madison","perceive",1,2606
"36333",39,"Madison","periodically",1,2606
"36334",39,"Madison","placed",1,2606
"36335",39,"Madison","places",1,2606
"36336",39,"Madison","planned",1,2606
"36337",39,"Madison","poland",1,2606
"36338",39,"Madison","politic",1,2606
"36339",39,"Madison","popular",1,2606
"36340",39,"Madison","portions",1,2606
"36341",39,"Madison","position",1,2606
"36342",39,"Madison","precautions",1,2606
"36343",39,"Madison","precision",1,2606
"36344",39,"Madison","present",1,2606
"36345",39,"Madison","presenting",1,2606
"36346",39,"Madison","preserved",1,2606
"36347",39,"Madison","prevent",1,2606
"36348",39,"Madison","proceed",1,2606
"36349",39,"Madison","proceeded",1,2606
"36350",39,"Madison","proceedings",1,2606
"36351",39,"Madison","prohibition",1,2606
"36352",39,"Madison","proof",1,2606
"36353",39,"Madison","properly",1,2606
"36354",39,"Madison","propose",1,2606
"36355",39,"Madison","provided",1,2606
"36356",39,"Madison","provision",1,2606
"36357",39,"Madison","provisions",1,2606
"36358",39,"Madison","purpose",1,2606
"36359",39,"Madison","purposes",1,2606
"36360",39,"Madison","radical",1,2606
"36361",39,"Madison","rank",1,2606
"36362",39,"Madison","rather",1,2606
"36363",39,"Madison","ratifying",1,2606
"36364",39,"Madison","ratio",1,2606
"36365",39,"Madison","reason",1,2606
"36366",39,"Madison","received",1,2606
"36367",39,"Madison","reconcilable",1,2606
"36368",39,"Madison","recurring",1,2606
"36369",39,"Madison","regard",1,2606
"36370",39,"Madison","regarded",1,2606
"36371",39,"Madison","regular",1,2606
"36372",39,"Madison","regulation",1,2606
"36373",39,"Madison","relates",1,2606
"36374",39,"Madison","relating",1,2606
"36375",39,"Madison","remote",1,2606
"36376",39,"Madison","rendering",1,2606
"36377",39,"Madison","reported",1,2606
"36378",39,"Madison","republicans",1,2606
"36379",39,"Madison","republics",1,2606
"36380",39,"Madison","required",1,2606
"36381",39,"Madison","requires",1,2606
"36382",39,"Madison","reside",1,2606
"36383",39,"Madison","residuary",1,2606
"36384",39,"Madison","resort",1,2606
"36385",39,"Madison","respectable",1,2606
"36386",39,"Madison","respective",1,2606
"36387",39,"Madison","respectively",1,2606
"36388",39,"Madison","rest",1,2606
"36389",39,"Madison","retain",1,2606
"36390",39,"Madison","revolution",1,2606
"36391",39,"Madison","rigid",1,2606
"36392",39,"Madison","safely",1,2606
"36393",39,"Madison","satisfactory",1,2606
"36394",39,"Madison","say",1,2606
"36395",39,"Madison","secondly",1,2606
"36396",39,"Madison","secure",1,2606
"36397",39,"Madison","seems",1,2606
"36398",39,"Madison","self",1,2606
"36399",39,"Madison","senates",1,2606
"36400",39,"Madison","sense",1,2606
"36401",39,"Madison","should",1,2606
"36402",39,"Madison","show",1,2606
"36403",39,"Madison","side",1,2606
"36404",39,"Madison","since",1,2606
"36405",39,"Madison","single",1,2606
"36406",39,"Madison","six",1,2606
"36407",39,"Madison","small",1,2606
"36408",39,"Madison","sought",1,2606
"36409",39,"Madison","source",1,2606
"36410",39,"Madison","sovereignty",1,2606
"36411",39,"Madison","speak",1,2606
"36412",39,"Madison","special",1,2606
"36413",39,"Madison","specified",1,2606
"36414",39,"Madison","sphere",1,2606
"36415",39,"Madison","spheres",1,2606
"36416",39,"Madison","strictly",1,2606
"36417",39,"Madison","strictness",1,2606
"36418",39,"Madison","subordinate",1,2606
"36419",39,"Madison","supply",1,2606
"36420",39,"Madison","supposed",1,2606
"36421",39,"Madison","survey",1,2606
"36422",39,"Madison","sword",1,2606
"36423",39,"Madison","system",1,2606
"36424",39,"Madison","taken",1,2606
"36425",39,"Madison","tenures",1,2606
"36426",39,"Madison","terms",1,2606
"36427",39,"Madison","things",1,2606
"36428",39,"Madison","thirdly",1,2606
"36429",39,"Madison","those",1,2606
"36430",39,"Madison","three",1,2606
"36431",39,"Madison","thrown",1,2606
"36432",39,"Madison","till",1,2606
"36433",39,"Madison","time",1,2606
"36434",39,"Madison","times",1,2606
"36435",39,"Madison","titles",1,2606
"36436",39,"Madison","towards",1,2606
"36437",39,"Madison","transaction",1,2606
"36438",39,"Madison","trial",1,2606
"36439",39,"Madison","true",1,2606
"36440",39,"Madison","try",1,2606
"36441",39,"Madison","trying",1,2606
"36442",39,"Madison","tyrannical",1,2606
"36443",39,"Madison","ultimate",1,2606
"36444",39,"Madison","ultimately",1,2606
"36445",39,"Madison","unanimous",1,2606
"36446",39,"Madison","unavoidable",1,2606
"36447",39,"Madison","undertaken",1,2606
"36448",39,"Madison","undertaking",1,2606
"36449",39,"Madison","unequal",1,2606
"36450",39,"Madison","universally",1,2606
"36451",39,"Madison","unquestionably",1,2606
"36452",39,"Madison","used",1,2606
"36453",39,"Madison","usual",1,2606
"36454",39,"Madison","venice",1,2606
"36455",39,"Madison","very",1,2606
"36456",39,"Madison","viewed",1,2606
"36457",39,"Madison","voluntary",1,2606
"36458",39,"Madison","votary",1,2606
"36459",39,"Madison","when",1,2606
"36460",39,"Madison","where",1,2606
"36461",39,"Madison","whether",1,2606
"36462",39,"Madison","without",1,2606
"36463",39,"Madison","worst",1,2606
"36464",39,"Madison","writers",1,2606
"36465",39,"Madison","year",1,2606
"36466",40,"Madison","abolish",1,3014
"36467",40,"Madison","above",1,3014
"36468",40,"Madison","absurdity",1,3014
"36469",40,"Madison","accept",1,3014
"36470",40,"Madison","according",1,3014
"36471",40,"Madison","accordingly",1,3014
"36472",40,"Madison","acknowledged",1,3014
"36473",40,"Madison","acted",1,3014
"36474",40,"Madison","addressed",1,3014
"36475",40,"Madison","adherence",1,3014
"36476",40,"Madison","adhering",1,3014
"36477",40,"Madison","advanced",1,3014
"36478",40,"Madison","advisory",1,3014
"36479",40,"Madison","affected",1,3014
"36480",40,"Madison","affirmative",1,3014
"36481",40,"Madison","afterwards",1,3014
"36482",40,"Madison","agency",1,3014
"36483",40,"Madison","agitated",1,3014
"36484",40,"Madison","aimed",1,3014
"36485",40,"Madison","alacrity",1,3014
"36486",40,"Madison","allowed",1,3014
"36487",40,"Madison","almost",1,3014
"36488",40,"Madison","alone",1,3014
"36489",40,"Madison","altogether",1,3014
"36490",40,"Madison","amendment",1,3014
"36491",40,"Madison","amounts",1,3014
"36492",40,"Madison","analyzed",1,3014
"36493",40,"Madison","ancient",1,3014
"36494",40,"Madison","animadversion",1,3014
"36495",40,"Madison","answer",1,3014
"36496",40,"Madison","antecedent",1,3014
"36497",40,"Madison","anxiety",1,3014
"36498",40,"Madison","anywhere",1,3014
"36499",40,"Madison","appearing",1,3014
"36500",40,"Madison","appears",1,3014
"36501",40,"Madison","approved",1,3014
"36502",40,"Madison","ardent",1,3014
"36503",40,"Madison","arising",1,3014
"36504",40,"Madison","army",1,3014
"36505",40,"Madison","aspect",1,3014
"36506",40,"Madison","assembled",1,3014
"36507",40,"Madison","assembly",1,3014
"36508",40,"Madison","assent",1,3014
"36509",40,"Madison","assume",1,3014
"36510",40,"Madison","assumptions",1,3014
"36511",40,"Madison","attended",1,3014
"36512",40,"Madison","authorizes",1,3014
"36513",40,"Madison","awaken",1,3014
"36514",40,"Madison","axioms",1,3014
"36515",40,"Madison","believe",1,3014
"36516",40,"Madison","beyond",1,3014
"36517",40,"Madison","blot",1,3014
"36518",40,"Madison","bosom",1,3014
"36519",40,"Madison","bosoms",1,3014
"36520",40,"Madison","both",1,3014
"36521",40,"Madison","boundary",1,3014
"36522",40,"Madison","branch",1,3014
"36523",40,"Madison","calculated",1,3014
"36524",40,"Madison","called",1,3014
"36525",40,"Madison","cannot",1,3014
"36526",40,"Madison","capable",1,3014
"36527",40,"Madison","capture",1,3014
"36528",40,"Madison","cavil",1,3014
"36529",40,"Madison","certain",1,3014
"36530",40,"Madison","characters",1,3014
"36531",40,"Madison","charge",1,3014
"36532",40,"Madison","charges",1,3014
"36533",40,"Madison","civil",1,3014
"36534",40,"Madison","claims",1,3014
"36535",40,"Madison","coinage",1,3014
"36536",40,"Madison","coincide",1,3014
"36537",40,"Madison","coins",1,3014
"36538",40,"Madison","cold",1,3014
"36539",40,"Madison","collected",1,3014
"36540",40,"Madison","collective",1,3014
"36541",40,"Madison","comes",1,3014
"36542",40,"Madison","commensurate",1,3014
"36543",40,"Madison","commissioners",1,3014
"36544",40,"Madison","commissions",1,3014
"36545",40,"Madison","committees",1,3014
"36546",40,"Madison","committing",1,3014
"36547",40,"Madison","common",1,3014
"36548",40,"Madison","comparison",1,3014
"36549",40,"Madison","compass",1,3014
"36550",40,"Madison","comprising",1,3014
"36551",40,"Madison","concentrating",1,3014
"36552",40,"Madison","conception",1,3014
"36553",40,"Madison","concert",1,3014
"36554",40,"Madison","condemn",1,3014
"36555",40,"Madison","confidential",1,3014
"36556",40,"Madison","confined",1,3014
"36557",40,"Madison","confirmation",1,3014
"36558",40,"Madison","congresses",1,3014
"36559",40,"Madison","consequence",1,3014
"36560",40,"Madison","consideration",1,3014
"36561",40,"Madison","considered",1,3014
"36562",40,"Madison","conspire",1,3014
"36563",40,"Madison","constituents",1,3014
"36564",40,"Madison","construed",1,3014
"36565",40,"Madison","contemplation",1,3014
"36566",40,"Madison","contended",1,3014
"36567",40,"Madison","contrary",1,3014
"36568",40,"Madison","control",1,3014
"36569",40,"Madison","convened",1,3014
"36570",40,"Madison","conventions",1,3014
"36571",40,"Madison","conviction",1,3014
"36572",40,"Madison","convinced",1,3014
"36573",40,"Madison","correcting",1,3014
"36574",40,"Madison","corruption",1,3014
"36575",40,"Madison","course",1,3014
"36576",40,"Madison","courts",1,3014
"36577",40,"Madison","critical",1,3014
"36578",40,"Madison","criticised",1,3014
"36579",40,"Madison","danger",1,3014
"36580",40,"Madison","dearest",1,3014
"36581",40,"Madison","death",1,3014
"36582",40,"Madison","deduced",1,3014
"36583",40,"Madison","deemed",1,3014
"36584",40,"Madison","defect",1,3014
"36585",40,"Madison","defects",1,3014
"36586",40,"Madison","defending",1,3014
"36587",40,"Madison","defining",1,3014
"36588",40,"Madison","definition",1,3014
"36589",40,"Madison","delay",1,3014
"36590",40,"Madison","delegated",1,3014
"36591",40,"Madison","deliberations",1,3014
"36592",40,"Madison","departed",1,3014
"36593",40,"Madison","derive",1,3014
"36594",40,"Madison","described",1,3014
"36595",40,"Madison","destroy",1,3014
"36596",40,"Madison","determined",1,3014
"36597",40,"Madison","devise",1,3014
"36598",40,"Madison","dictated",1,3014
"36599",40,"Madison","direct",1,3014
"36600",40,"Madison","disappointing",1,3014
"36601",40,"Madison","disapprobation",1,3014
"36602",40,"Madison","disarmed",1,3014
"36603",40,"Madison","dismiss",1,3014
"36604",40,"Madison","disposition",1,3014
"36605",40,"Madison","disregarded",1,3014
"36606",40,"Madison","distinct",1,3014
"36607",40,"Madison","distinguished",1,3014
"36608",40,"Madison","does",1,3014
"36609",40,"Madison","due",1,3014
"36610",40,"Madison","duty",1,3014
"36611",40,"Madison","effected",1,3014
"36612",40,"Madison","effectually",1,3014
"36613",40,"Madison","efforts",1,3014
"36614",40,"Madison","either",1,3014
"36615",40,"Madison","elected",1,3014
"36616",40,"Madison","elevated",1,3014
"36617",40,"Madison","emotion",1,3014
"36618",40,"Madison","empire",1,3014
"36619",40,"Madison","enable",1,3014
"36620",40,"Madison","enemy",1,3014
"36621",40,"Madison","enjoyment",1,3014
"36622",40,"Madison","enlargement",1,3014
"36623",40,"Madison","enmity",1,3014
"36624",40,"Madison","entire",1,3014
"36625",40,"Madison","equally",1,3014
"36626",40,"Madison","essential",1,3014
"36627",40,"Madison","establish",1,3014
"36628",40,"Madison","established",1,3014
"36629",40,"Madison","estimation",1,3014
"36630",40,"Madison","event",1,3014
"36631",40,"Madison","events",1,3014
"36632",40,"Madison","evinced",1,3014
"36633",40,"Madison","examined",1,3014
"36634",40,"Madison","exceeded",1,3014
"36635",40,"Madison","exceeding",1,3014
"36636",40,"Madison","excite",1,3014
"36637",40,"Madison","execute",1,3014
"36638",40,"Madison","exercised",1,3014
"36639",40,"Madison","exercising",1,3014
"36640",40,"Madison","existing",1,3014
"36641",40,"Madison","expansion",1,3014
"36642",40,"Madison","expectation",1,3014
"36643",40,"Madison","expectations",1,3014
"36644",40,"Madison","expedient",1,3014
"36645",40,"Madison","experience",1,3014
"36646",40,"Madison","expositors",1,3014
"36647",40,"Madison","extent",1,3014
"36648",40,"Madison","external",1,3014
"36649",40,"Madison","fair",1,3014
"36650",40,"Madison","fate",1,3014
"36651",40,"Madison","february",1,3014
"36652",40,"Madison","feeble",1,3014
"36653",40,"Madison","felt",1,3014
"36654",40,"Madison","fifty",1,3014
"36655",40,"Madison","final",1,3014
"36656",40,"Madison","finally",1,3014
"36657",40,"Madison","fine",1,3014
"36658",40,"Madison","foe",1,3014
"36659",40,"Madison","follow",1,3014
"36660",40,"Madison","forbearance",1,3014
"36661",40,"Madison","foreign",1,3014
"36662",40,"Madison","forever",1,3014
"36663",40,"Madison","forgotten",1,3014
"36664",40,"Madison","formed",1,3014
"36665",40,"Madison","found",1,3014
"36666",40,"Madison","foundation",1,3014
"36667",40,"Madison","founded",1,3014
"36668",40,"Madison","framed",1,3014
"36669",40,"Madison","fresh",1,3014
"36670",40,"Madison","fully",1,3014
"36671",40,"Madison","gives",1,3014
"36672",40,"Madison","granted",1,3014
"36673",40,"Madison","grants",1,3014
"36674",40,"Madison","ground",1,3014
"36675",40,"Madison","hath",1,3014
"36676",40,"Madison","hazard",1,3014
"36677",40,"Madison","he",1,3014
"36678",40,"Madison","held",1,3014
"36679",40,"Madison","herself",1,3014
"36680",40,"Madison","honor",1,3014
"36681",40,"Madison","however",1,3014
"36682",40,"Madison","ignoble",1,3014
"36683",40,"Madison","ill",1,3014
"36684",40,"Madison","immediate",1,3014
"36685",40,"Madison","impartial",1,3014
"36686",40,"Madison","importance",1,3014
"36687",40,"Madison","impossible",1,3014
"36688",40,"Madison","impressed",1,3014
"36689",40,"Madison","impressions",1,3014
"36690",40,"Madison","inconsistent",1,3014
"36691",40,"Madison","independence",1,3014
"36692",40,"Madison","indians",1,3014
"36693",40,"Madison","indignation",1,3014
"36694",40,"Madison","individual",1,3014
"36695",40,"Madison","indulge",1,3014
"36696",40,"Madison","inefficiency",1,3014
"36697",40,"Madison","infinitely",1,3014
"36698",40,"Madison","inflexible",1,3014
"36699",40,"Madison","inflicted",1,3014
"36700",40,"Madison","informal",1,3014
"36701",40,"Madison","infringed",1,3014
"36702",40,"Madison","innovation",1,3014
"36703",40,"Madison","innovations",1,3014
"36704",40,"Madison","inquired",1,3014
"36705",40,"Madison","inquiries",1,3014
"36706",40,"Madison","inquiry",1,3014
"36707",40,"Madison","insert",1,3014
"36708",40,"Madison","inspection",1,3014
"36709",40,"Madison","instance",1,3014
"36710",40,"Madison","instituted",1,3014
"36711",40,"Madison","instructions",1,3014
"36712",40,"Madison","instrument",1,3014
"36713",40,"Madison","insufficient",1,3014
"36714",40,"Madison","intermediate",1,3014
"36715",40,"Madison","internal",1,3014
"36716",40,"Madison","interposition",1,3014
"36717",40,"Madison","intervention",1,3014
"36718",40,"Madison","introduced",1,3014
"36719",40,"Madison","investigation",1,3014
"36720",40,"Madison","inveterate",1,3014
"36721",40,"Madison","irreconcilable",1,3014
"36722",40,"Madison","irreconcilably",1,3014
"36723",40,"Madison","irregular",1,3014
"36724",40,"Madison","irregularities",1,3014
"36725",40,"Madison","irresistible",1,3014
"36726",40,"Madison","judge",1,3014
"36727",40,"Madison","jurisdiction",1,3014
"36728",40,"Madison","jury",1,3014
"36729",40,"Madison","justify",1,3014
"36730",40,"Madison","keenest",1,3014
"36731",40,"Madison","laid",1,3014
"36732",40,"Madison","land",1,3014
"36733",40,"Madison","latitude",1,3014
"36734",40,"Madison","lawful",1,3014
"36735",40,"Madison","led",1,3014
"36736",40,"Madison","legal",1,3014
"36737",40,"Madison","legislature",1,3014
"36738",40,"Madison","levied",1,3014
"36739",40,"Madison","levy",1,3014
"36740",40,"Madison","lies",1,3014
"36741",40,"Madison","likely",1,3014
"36742",40,"Madison","limit",1,3014
"36743",40,"Madison","long",1,3014
"36744",40,"Madison","magistrate",1,3014
"36745",40,"Madison","maintain",1,3014
"36746",40,"Madison","majority",1,3014
"36747",40,"Madison","make",1,3014
"36748",40,"Madison","making",1,3014
"36749",40,"Madison","mankind",1,3014
"36750",40,"Madison","manly",1,3014
"36751",40,"Madison","mark",1,3014
"36752",40,"Madison","marshal",1,3014
"36753",40,"Madison","masks",1,3014
"36754",40,"Madison","meaning",1,3014
"36755",40,"Madison","meant",1,3014
"36756",40,"Madison","measures",1,3014
"36757",40,"Madison","meeting",1,3014
"36758",40,"Madison","memory",1,3014
"36759",40,"Madison","merely",1,3014
"36760",40,"Madison","midst",1,3014
"36761",40,"Madison","might",1,3014
"36762",40,"Madison","minds",1,3014
"36763",40,"Madison","misfortune",1,3014
"36764",40,"Madison","mixed",1,3014
"36765",40,"Madison","modes",1,3014
"36766",40,"Madison","moment",1,3014
"36767",40,"Madison","monday",1,3014
"36768",40,"Madison","mould",1,3014
"36769",40,"Madison","move",1,3014
"36770",40,"Madison","navy",1,3014
"36771",40,"Madison","necessity",1,3014
"36772",40,"Madison","neglect",1,3014
"36773",40,"Madison","neither",1,3014
"36774",40,"Madison","nevertheless",1,3014
"36775",40,"Madison","next",1,3014
"36776",40,"Madison","noble",1,3014
"36777",40,"Madison","nominal",1,3014
"36778",40,"Madison","nugatory",1,3014
"36779",40,"Madison","number",1,3014
"36780",40,"Madison","obligations",1,3014
"36781",40,"Madison","observation",1,3014
"36782",40,"Madison","occasions",1,3014
"36783",40,"Madison","occurred",1,3014
"36784",40,"Madison","offered",1,3014
"36785",40,"Madison","omitted",1,3014
"36786",40,"Madison","once",1,3014
"36787",40,"Madison","ones",1,3014
"36788",40,"Madison","operate",1,3014
"36789",40,"Madison","operative",1,3014
"36790",40,"Madison","opposition",1,3014
"36791",40,"Madison","order",1,3014
"36792",40,"Madison","ordinary",1,3014
"36793",40,"Madison","origin",1,3014
"36794",40,"Madison","originally",1,3014
"36795",40,"Madison","our",1,3014
"36796",40,"Madison","paper",1,3014
"36797",40,"Madison","partial",1,3014
"36798",40,"Madison","parts",1,3014
"36799",40,"Madison","peculiarly",1,3014
"36800",40,"Madison","perpetual",1,3014
"36801",40,"Madison","persons",1,3014
"36802",40,"Madison","perverseness",1,3014
"36803",40,"Madison","philadelphia",1,3014
"36804",40,"Madison","piracy",1,3014
"36805",40,"Madison","placed",1,3014
"36806",40,"Madison","places",1,3014
"36807",40,"Madison","plain",1,3014
"36808",40,"Madison","planned",1,3014
"36809",40,"Madison","plans",1,3014
"36810",40,"Madison","plausible",1,3014
"36811",40,"Madison","pointing",1,3014
"36812",40,"Madison","possession",1,3014
"36813",40,"Madison","possible",1,3014
"36814",40,"Madison","preceding",1,3014
"36815",40,"Madison","precept",1,3014
"36816",40,"Madison","precious",1,3014
"36817",40,"Madison","present",1,3014
"36818",40,"Madison","presumed",1,3014
"36819",40,"Madison","pretermitting",1,3014
"36820",40,"Madison","pretext",1,3014
"36821",40,"Madison","prevailed",1,3014
"36822",40,"Madison","principle",1,3014
"36823",40,"Madison","privilege",1,3014
"36824",40,"Madison","probable",1,3014
"36825",40,"Madison","proceeded",1,3014
"36826",40,"Madison","proceedings",1,3014
"36827",40,"Madison","produced",1,3014
"36828",40,"Madison","progress",1,3014
"36829",40,"Madison","promoted",1,3014
"36830",40,"Madison","pronounced",1,3014
"36831",40,"Madison","propensity",1,3014
"36832",40,"Madison","propose",1,3014
"36833",40,"Madison","proposition",1,3014
"36834",40,"Madison","propositions",1,3014
"36835",40,"Madison","propriety",1,3014
"36836",40,"Madison","proved",1,3014
"36837",40,"Madison","provide",1,3014
"36838",40,"Madison","provided",1,3014
"36839",40,"Madison","provision",1,3014
"36840",40,"Madison","prudent",1,3014
"36841",40,"Madison","publications",1,3014
"36842",40,"Madison","purview",1,3014
"36843",40,"Madison","questions",1,3014
"36844",40,"Madison","raise",1,3014
"36845",40,"Madison","rather",1,3014
"36846",40,"Madison","real",1,3014
"36847",40,"Madison","recognize",1,3014
"36848",40,"Madison","recollect",1,3014
"36849",40,"Madison","recollected",1,3014
"36850",40,"Madison","recommending",1,3014
"36851",40,"Madison","recommends",1,3014
"36852",40,"Madison","recur",1,3014
"36853",40,"Madison","reduce",1,3014
"36854",40,"Madison","reference",1,3014
"36855",40,"Madison","reflected",1,3014
